Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,New Pal Travels,NON A/C Seater / Sleeper (2+2),20:15,10h 00m,6:15,1.5,719,0
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,Harikesh Tour N Travels,NON A/C Seater / Sleeper (2+2),20:30,09h 30m,6:00,1.1,593,0
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),16:30,10h 00m,2:30,1,699,0
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),17:15,10h 00m,3:15,1,699,0
Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,DIVA BUS,AC Sleeper (2+1),15:00,17h 00m,8:00,3.4,4999,0
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),20:50,12h 40m,9:30,4.3,608,0
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),20:00,12h 55m,8:55,4.1,800,0
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),16:40,12h 20m,5:00,4.5,833,0
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,Zimindara Travels,AC Sleeper (2+1),15:00,13h 30m,4:30,4.5,1099,0
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),21:00,12h 55m,9:55,2.5,739,0
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,City Land Travels,A/C Seater/Sleeper (2+1),20:30,12h 30m,9:00,3.4,620,0
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,City Land Travels,A/C Seater/Sleeper (2+1),18:00,12h 20m,6:20,3.4,585,0
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,New Pal Travels,A/C Sleeper (2+2),20:30,12h 55m,9:25,3.5,899,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Gola Bus Service,A/C Seater/Sleeper (2+1),20:00,13h 00m,9:00,4.8,399,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:25,10h 05m,6:30,4.5,516,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),21:30,12h 45m,10:15,4.5,950,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,AdIndia Tours & Travels (GetBookCab),A/C Semi Sleeper / Sleeper (2+2),21:45,12h 30m,10:15,4.3,550,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Ram Dalal Holidays,A/C Seater/Sleeper (2+1),18:30,11h 55m,6:25,4.7,495,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Seater / Sleeper (2+1),18:30,12h 40m,7:10,4.4,490,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),17:00,13h 00m,6:00,4.3,542,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,AdLaxmi holidays,Bharat Benz A/C Sleeper (2+1),18:00,13h 00m,7:00,4.2,760,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),22:00,13h 00m,11:00,4.3,760,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),22:30,13h 00m,11:30,4.3,760,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,India Tours & Travels (GetBookCab),A/C Seater / Sleeper (2+2),21:30,12h 30m,10:00,4.4,499,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Yolo Bus,A/C Seater/Sleeper (2+1),19:15,12h 15m,7:30,4.6,399,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,IntrCity SmartBus,AC Sleeper (2+1),19:30,14h 00m,9:30,4.4,679,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,12h 30m,7:00,4.4,950,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),21:50,12h 30m,10:20,4.1,542,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),21:00,13h 00m,10:00,4.1,542,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),23:00,13h 20m,12:20,4,542,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:00,13h 40m,9:40,4.8,665,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),17:55,12h 05m,6:00,4.6,513,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Travel Point,A/C Seater / Sleeper (2+2),18:00,13h 15m,7:15,3.7,528,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Goel Tourist (Regd),A/C Seater / Sleeper (2+2),17:30,13h 00m,6:30,3.9,509,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,CAPITAL HOLIDAYS,A/C Seater / Sleeper (2+2),20:30,12h 00m,8:30,3.4,719,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,CAPITAL HOLIDAYS,A/C Seater / Sleeper (2+2),17:00,12h 00m,5:00,3.4,719,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,PRAKASH TOURISM,A/C Seater / Sleeper (2+2),18:05,12h 00m,6:05,3.7,3000,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Vaishnoyatra services pvt ltd,A/C Seater / Sleeper (2+2),20:30,11h 45m,8:15,3.7,850,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,KVS Holidays,A/C Seater / Sleeper (2+2),17:00,12h 30m,5:30,3.6,399,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,RK Holiday,A/C Seater / Sleeper (2+2),22:10,12h 45m,10:55,4.2,404,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Lucky Bus Service,VE A/C Sleeper (2+2),17:00,12h 30m,5:30,3.7,749,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,City Land Travels,A/C Seater/Sleeper (2+1),20:30,13h 00m,9:30,3.4,528,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Lavish Travels,A/C Seater / Sleeper (2+2),18:15,14h 00m,8:15,3.7,467,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Ashok Bus Service,VE A/C Seater / Sleeper (2+1),19:00,13h 30m,8:30,1.9,415,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Goel Tourist (Regd),A/C Seater / Sleeper (2+2),20:50,12h 10m,9:00,3.8,509,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Shub Yatra Holidays,A/C Sleeper (2+2),21:00,12h 15m,9:15,3.9,749,0
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Travel Point,A/C Seater / Sleeper (2+2),22:30,12h 45m,11:15,3.5,904,0
