Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SBSTC-BURDWAN - KOLKATA - 05:45 (BWN DEPOT) - 2,Non AC Seater (2+3),5:45,02h 00m,7:45,4,INR 95,28 Seats available
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 05:50 (BWN DEPOT) - 44,Non AC Seater (2+3),5:50,02h 30m,8:20,4.3,INR 100,2 Seats available
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SBSTC-BURDWAN - KOLKATA - 06:15 (BWN DEPOT) - 4,Non AC Seater (2+3),6:15,02h 00m,8:15,4,INR 95,29 Seats available
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 06:25 (BWN DEPOT) - 45,Non AC Seater (2+3),6:25,02h 30m,8:55,4.2,INR 100,1 Seat available
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 07:10 (BWN DEPOT) - 692,Non AC Seater (2+3),7:10,02h 30m,9:40,4.2,INR 100,2 Seats available
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SBSTC-BURDWAN - KOLKATA - 07:25 (BWN DEPOT) - 9,Non AC Seater (2+3),7:25,02h 00m,9:25,4.1,INR 95,10 Seats available
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 07:30 (BWN DEPOT) - 454,Non AC Seater (2+3),7:30,02h 30m,10:00,4,INR 100,9 Seats available
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 08:00 (BWN DEPOT) - 48,Non AC Seater (2+3),8:00,02h 30m,10:30,4.1,INR 100,13 Seats available
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SBSTC-BURDWAN - KARUNAMOYEE - A/C - 08:15 (BWN DEPOT) - 673,AC Seater (2+2),8:15,02h 30m,10:45,4.1,INR 200,2 Seats available
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SBSTC-BURDWAN - KOLKATA - 08:15 (BWN DEPOT) - 13,Non AC Seater (2+3),8:15,02h 00m,10:15,4.4,INR 95,38 Seats available
